,Start date,Country,Location,Total deaths,Total affected,Total damage ('000 US$),Year,Food Balance: Feed,Food Balance: Stock Variation,Food Balance: Export Quantity,Food Balance: Seed,Food Balance: Other uses,Food Balance: Processing,Food Balance: Domestic supply quantity,Food Balance: Food,Food Balance: Production,Food Balance: Waste,Food Balance: Import Quantity,Food Aid: Value,Crop Production: Production,Crop Production: Area harvested,Crop Production: Yield,Crop Production: Seed,x,y
0,23/04/1969,China,Shantung province,0.0,0.0,0.0,1969,404.0,-172.0,65.0,3560.0,463.0,0.0,31702.0,25160.0,27295.0,2115.0,4644.0,0.0,27294958.0,25141668.0,32206.0,3560120.0,-3.209052869265151,0.3094934743621167
1,/04/1975,China,Henan province,20000.0,11000000.0,0.0,1975,504.0,-2179.0,45.0,4115.0,382.0,0.0,47300.0,38995.0,45313.0,3304.0,4211.0,0.0,45313042.0,27634276.0,40388.0,4115030.0,-2.028614229547224,0.7057193150317724
2,/06/1980,China,Anhui province,65.0,0.0,0.0,1980,413.0,325.0,82.0,3950.0,545.0,0.0,67366.0,58875.0,55213.0,3583.0,11910.0,0.0,55212839.0,29191137.0,43883.0,3950061.0,-0.943052354358852,1.230878998428389
3,/07/1980,China,Sichuan province,38.0,40100.0,0.0,1980,413.0,325.0,82.0,3950.0,545.0,0.0,67366.0,58875.0,55213.0,3583.0,11910.0,0.0,55212839.0,29191137.0,43883.0,3950061.0,-0.9425004781803583,1.2312548402631749
4,02/09/1980,China,"Hubei province, West Shangai",0.0,0.0,0.0,1980,413.0,325.0,82.0,3950.0,545.0,0.0,67366.0,58875.0,55213.0,3583.0,11910.0,0.0,55212839.0,29191137.0,43883.0,3950061.0,-0.9417355814499474,1.2317813101935213
5,/06/1980,China,"Sichuan, Anhui, Hubei",6200.0,67000.0,160000.0,1980,413.0,325.0,82.0,3950.0,545.0,0.0,67366.0,58875.0,55213.0,3583.0,11910.0,0.0,55212839.0,29191137.0,43883.0,3950061.0,-1.1749337917294616,1.1270117496281493
6,14/07/1981,China,"Sichuan, Central and South China",1311.0,1528140.0,1100000.0,1981,304.0,-661.0,89.0,4050.0,574.0,0.0,72806.0,63925.0,59643.0,3952.0,13913.0,0.0,59642710.0,28279019.0,47685.0,4050060.0,-0.892566931481539,1.2340743698737402
7,/08/1981,China,Shaanxi province,764.0,1405000.0,1200000.0,1981,304.0,-661.0,89.0,4050.0,574.0,0.0,72806.0,63925.0,59643.0,3952.0,13913.0,0.0,59642710.0,28279019.0,47685.0,4050060.0,-0.8725751100624576,1.2418168349836185
8,12/09/1981,China,Quinghai province,0.0,4000.0,0.0,1981,304.0,-661.0,89.0,4050.0,574.0,0.0,72806.0,63925.0,59643.0,3952.0,13913.0,0.0,59642710.0,28279019.0,47685.0,4050060.0,-0.8293431821954484,1.2539781731999287
9,/10/1981,China,Guangdong province,0.0,150000.0,0.0,1981,304.0,-661.0,89.0,4050.0,574.0,0.0,72806.0,63925.0,59643.0,3952.0,13913.0,0.0,59642710.0,28279019.0,47685.0,4050060.0,-0.8293457212806701,1.2539767859752537
10,04/10/1981,China,Sichuan province,240.0,100000.0,0.0,1981,304.0,-661.0,89.0,4050.0,574.0,0.0,72806.0,63925.0,59643.0,3952.0,13913.0,0.0,59642710.0,28279019.0,47685.0,4050060.0,-0.8344123703628257,1.2505983632436724
